Word,Count
+,5879
*,2904
=,2208
{,2073
},1938
,1414
\"\\,1393
if,1130
the,975
String,815
public,587
a,430
e.printStackTrace();,415
to,403
new,357
ArrayName.toLowerCase(),354
of,348
\"\"\,\,347
in,283
not,279
for,270
catch,267
0,267
ParentString,265
is,261
\"\\"\\,260
be,260
and,257
else,257
<div,256
void,254
return,250
next,237
ID.toLowerCase(),237
\true,\,234
\"\\"\>"\);\,217
//,208
</div>,208
NextToken();,205
protected,187
<span,178
int,174
(String),173
true,173
e),171
boolean,166
try,158
will,158
NL);,147
s.append(GetInd(ind),139
\"\string"\,\,138
as,136
<button,128
with,127
you,127
\vv=vv.replaceFirst("\\\}"\,\,126
(IOException,126
use,125
case,124
As,124
TODO,118
while,117
</button>,116
final,116
static,115
>,114
an,114
s,112
\true,1);\,108
-1),106
\"\<span\,105
\false,1);\,104
),103
@return,102
on,101
method,100
B4JS,99
can,98
\"\</span>"\);\,98
e.g,97
The,96
properties,96
are,96
call,94
then,94
its,94
null);,93
Auto-generated,92
block,92
\"\','"\\,92
\"\,"\\,88
break;,88
\id=\"\"\\,88
methods,87
device,87
(int),85
class,84
this,83
another,83
v,81
text,81
event,80
(,80
i,78
A,77
\"\_"\\,76
within,75
\"\;\,75
or,75
(Page.ws.getOpen()),75
\v=v.replaceFirst("\\\}"\,\,74
created,74
Page.ws.Flush();Page.RunFlushed();,73
available,73
Can,72
ABM,72
IN,72
-,72
But,71
ONLY,70
through,70
\B4J,\,70
\class=\"\"\\,70
@param,69
Return,68
string,67
browser,67
set,67
&&,66
\s.append("\var\,66
detection,65
\class=\"\toolbarButton\,64
Detects,62
\{"\);\,61
it,61
Array,61
@Override,61
USE,60
TO,60
surID,60
CLASS,60
\,"\string"\,\,59
anywheresoftware.b4a.objects.collections.List,58
\class=\"\row\"\>\,56
Sub,56
\"\<div\,56
2,56
raised,56
This,55
1,54
AddToLabel,54
(boolean),53
<p,52
64,52
myButton_Clicked(),52
\64\"\\,52
\'"\\,51
You,51
\ZABDEF.InitProperty("\ToolTip\,51
all,50
used,50
',50
null;,50
import,49
\"\</code></pre></div>"\);\,49
\style=\"\"\);\,48
\class=\"\abmcode\"\><pre><code>"\);\,48
constants,48
\style=\"\color:"\);\,48
\name"\).Value;\,48
want,47
from,47
\"\,\,46
key,45
return;,45
\ZABDEF.Property("\tooltip\,45
BA.Log(IconName);,45
BA.Log(vv);,45
BA.Log(IconColor);,45
\class=\"\secondaryToolbarButton\,44
current,44
have,43
ret,42
returns,42
(int,42
do,42
only,41
number,41
:,41
Page.PageCharset),40
that,40
empty,40
has,39
MUST,39
\,"\boolean"\,\,39
\,"\int"\,\,39
when,39
throws,38
\false,3);\,38
\(v.indexOf("\{ST:"\)\,37
\v.replace("\{/CODE}"\,\,37
\v=v.replaceFirst("\\\{C:"\,\,37
|,37
first,37
\v.replace("\{CODE}"\,\,37
StringBuilder,37
extra,37
\(v.indexOf("\{C:"\)\,37
\v=v.replaceFirst("\\\{/ST}"\,\,37
\v=v.replaceFirst("\\\{/C}"\,\,37
\v=v.replaceFirst("\\\{ST:"\,\,37
\false,\,37
using,36
StringBuilder();,36
\null"\);\,36
\"\"\;\,36
devices,36
\"\px;\,35
B4J,35
\"\;"\\,35
finally,35
anywheresoftware.b4a.objects.collections.List();,35
AFTER,35
\Name"\,\,35
done,35
\true,2);\,34
\"\0px"\;\,34
||,34
ThemeName,34
End,34
var,34
NOT,34
0;,34
\Text"\,\,34
end,34
cell,33
OS,33
\["\\,33
);,33
component,33
\"\text"\)\,32
must,32
\_b4jsthemes[\"\msgbox-\"\\,32
\style=\"\line-height:\,32
inputStreamReader,32
\ID.toLowerCase(),\,32
IsBuild);,32
bufferedReader.close();,32
float1,32
l=Theme;,32
inputStreamReader.close();,32
\IsBuild="\\,32
Boolean,31
SecurityException,31
\"\int"\,\,31
function,31
one,31
\s.append("\<li\,30
\,\,30
Note:,30
true);,30
\true,3);\,29
elID,29
\"\);\,29
result,29
double,29
every,29
True,29
\(!s.equals("\"\))\,29
sure,29
ZABBuild(ABMPage,28
super.ZABBuild(page);,28
equal,28
\"\')\"\\,28
display:,28
icon,28
ZABInit(),28
super.ZABInit();,28
by,28
switch,28
SetPage(page);,28
\"\"\)\,28
vv,28
AddArrayName(s);,28
\s.append("\if\,28
\NoSuchFieldException,\,28
page),28
consume,28
value,28
Int),28
False,27
need,27
\ZABDEF.Property("\array\,27
\s.append("\<div\,27
HeightPx,27
\"\AddToLabel"\,\,27
mobile,27
mod,27
myCounter,27
(if,27
ts);,27
\style=\"\width:\,27
returning,27
{background-color:,27
B4JSOn..,27
Use,27
at,27
any),27
position,27
character,26
18px;vertical-align:,26
\enable-background=\"\new\,26
\xmlns=\"\http://www.w3.org/2000/svg\"\\,26
active,26
AddToLabel(MyCounter,26
18px;height:,26
solid,26
\myButton.B4JSOnClicked("\MyJavascript"\,\,26
Object(myCounter)),26
\s.append("\\,26
